name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	26	0	0.0
Buchnera aphidicola	9	species	456703	50	10	0.0
Phenylobacterium	20	genus	0	1	0	0.0
Shewanella	22	genus	0	3	1	0.0
Shewanella putrefaciens	24	species	31409311	15	5	0.0
Myxococcales	29	order	0	2	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Myxococcus xanthus	34	species	83398521	14	2	0.0
Corallococcus macrosporus	35	species	9003593	2	1	0.0
Stigmatella aurantiaca	41	species	0	1	0	0.0
Cystobacter fuscus	43	species	36433943	17	9	0.0
Archangium gephyra	48	species	24454036	22	9	0.0
Polyangiaceae	49	family	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	2	2	0.0
Sorangium cellulosum	56	species	40417900	48	20	0.0
Vitreoscilla stercoraria	61	species	2661781	2	2	0.0
Vitreoscilla filiformis	63	species	3787551	3	3	0.0
Lysobacter enzymogenes	69	species	37102571	44	15	0.0
Simonsiella muelleri	72	species	2482394	5	1	0.0
Stella humosa	94	species	5832650	5	2	0.0
Gemmata obscuriglobus	114	species	17998094	6	4	0.0
Gimesia maris	122	species	23261830	17	14	0.0
Methylocystis parvus	134	species	4529043	1	0	0.0
Spirochaetales	136	order	0	2	0	0.0
Borrelia	138	genus	0	3	0	0.0
Borreliella burgdorferi	139	species	24312222	45	8	0.0
Borrelia hermsii	140	species	3525460	11	4	0.0
Borrelia parkeri	141	species	1599772	35	15	0.0
Borrelia turicatae	142	species	4493576	17	1	0.0
Borrelia anserina	143	species	1054469	9	1	0.0
Borrelia coriaceae	144	species	1787333	23	11	0.0
Treponema	157	genus	0	4	3	0.0
Treponema denticola	158	species	39148188	74	15	0.0
Brachyspira hyodysenteriae	159	species	21589846	122	39	0.0
Treponema phagedenis	162	species	26340967	60	5	0.0
Treponema bryantii	163	species	3516600	7	5	0.0
Treponema saccharophilum	165	species	3459320	1	1	0.0
Leptospira interrogans	173	species	104150512	90	24	0.0
Leptospira borgpetersenii	174	species	66750464	18	4	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	1	0	0.0
Azospirillum	191	genus	0	3	1	0.0
Azospirillum brasilense	192	species	42849090	41	1	0.0
Campylobacter	194	genus	0	6	0	0.0
Campylobacter coli	195	species	142982563	128	30	0.0
Campylobacter fetus	196	species	13696549	28	11	0.0
Campylobacter jejuni	197	species	649613787	181	41	0.0
Campylobacter hyointestinalis	198	species	1753385	6	0	0.0
Campylobacter concisus	199	species	29170988	77	26	0.0
Campylobacter curvus	200	species	5921091	16	0	0.0
Campylobacter lari	201	species	9204492	77	14	0.0
Campylobacter mucosalis	202	species	1773478	6	1	0.0
Campylobacter rectus	203	species	5143480	6	0	0.0
Campylobacter showae	204	species	4258467	6	5	0.0
Campylobacter sputorum	206	species	1681311	20	6	0.0
Helicobacter	209	genus	0	1	0	0.0
Helicobacter pylori	210	species	485419020	313	98	0.0
Helicobacter cinaedi	213	species	19421675	39	7	0.0
Helicobacter mustelae	217	species	1576607	1	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	35	32	0.0
Brucella	234	genus	0	5	2	0.0
Brucella abortus	235	species	229795308	9	3	0.0
Flavobacterium	237	genus	0	10	6	0.0
Elizabethkingia meningoseptica	238	species	27451532	93	6	0.0
Flavobacterium sp.	239	species	2753136	19	5	0.0
Chryseobacterium balustinum	246	species	4974086	36	25	0.0
Empedobacter brevis	247	species	7431270	25	6	0.0
Chryseobacterium gleum	250	species	5606922	3917	3590	0.0
Chryseobacterium indologenes	253	species	55311915	137	46	0.0
Chryseobacterium indoltheticum	254	species	12892241	77	18	0.0
Myroides odoratus	256	species	12653952	55	22	0.0
Sphingobacterium spiritivorum	258	species	20685717	39	8	0.0
Sphingobacterium thalpophilum	259	species	23274145	51	14	0.0
Francisella tularensis	263	species	28312821	27	15	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	11	3	0.0
Paracoccus	265	genus	0	3	0	0.0
Thermus thermophilus	274	species	60521242	22	5	0.0
Comamonas testosteroni	285	species	35766485	20	2	0.0
Pseudomonas	286	genus	0	112	21	0.0
Pseudomonas aeruginosa	287	species	5774499764	65	14	0.0
Pseudoalteromonas atlantica	288	species	3669595	2	1	0.0
[Pseudomonas] carboxydohydrogena	290	species	3271440	1	1	0.0
Burkholderia cepacia	292	species	142457365	23	7	0.0
Brevundimonas diminuta	293	species	17453973	8	2	0.0
Pseudomonas fluorescens	294	species	135120295	35	10	0.0
Pseudomonas fragi	296	species	25548656	14	1	0.0
Pseudomonas marginalis	298	species	20534140	4	2	0.0
Ectopseudomonas mendocina	300	species	20627476	3	2	0.0
Ectopseudomonas oleovorans	301	species	9232695	3	1	0.0
Pseudomonas putida	303	species	416038984	75	20	0.0
Ralstonia solanacearum	305	species	143431260	19	3	0.0
Stutzerimonas stutzeri	316	species	134234018	21	7	0.0
Pseudomonas syringae	317	species	78178356	12	1	0.0
Pseudomonas savastanoi pv. phaseolicola	319	leaf	6085631	3	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	36483072	2	1	0.0
Pseudomonas amygdali pv. tabaci	322	leaf	6299574	2	0	0.0
Pseudomonas syringae pv. tomato	323	leaf	25656674	2	0	0.0
Ralstonia pickettii	329	species	10187675	2	2	0.0
Burkholderia glumae	337	species	346659127	26	4	0.0
Xanthomonas	338	genus	0	8	2	0.0
Xanthomonas campestris	339	species	71296665	14	4	0.0
Xanthomonas campestris pv. campestris	340	leaf	318821979	14	1	0.0
Xanthomonas translucens	343	species	37134451	7	2	0.0
Xanthomonas citri	346	species	31534264	9	2	0.0
Xanthomonas oryzae	347	species	133797860	5	3	0.0
Azotobacter	352	genus	0	1	0	0.0
Azotobacter chroococcum	353	species	10098779	6	1	0.0
Azotobacter vinelandii	354	species	5620870	3	1	0.0
Hyphomicrobiales	356	order	0	16	0	0.0
Agrobacterium	357	genus	0	1	1	0.0
Agrobacterium tumefaciens	358	species	328402725	29	5	0.0
Rhizobium rhizogenes	359	species	25817365	8	1	0.0
Agrobacterium vitis	373	species	59045005	23	7	0.0
Bradyrhizobium	374	genus	0	7	3	0.0
Bradyrhizobium japonicum	375	species	149671524	7	2	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Rhizobium	379	genus	0	5	3	0.0
Sinorhizobium fredii	380	species	13531397	3	0	0.0
Mesorhizobium loti	381	species	6870350	1	0	0.0
Sinorhizobium meliloti	382	species	179769211	15	3	0.0
Rhizobium leguminosarum	384	species	87891022	19	5	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	37653028	8	1	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	1	1	0.0
Sinorhizobium fredii NGR234	394	strain	6891900	1	1	0.0
Rhizobium phaseoli	396	species	94701776	5	3	0.0
Neorhizobium galegae	399	species	6049186	1	0	0.0
Methylobacterium	407	genus	0	1	0	0.0
Methylorubrum extorquens	408	species	28813053	24	2	0.0
Methylobacterium organophilum	410	species	5319780	6	3	0.0
Methylococcus capsulatus	414	species	20013869	2	0	0.0
Acetobacter aceti	435	species	7692929	5	2	0.0
Novacetimonas hansenii	436	species	10583023	6	3	0.0
Acetobacter pasteurianus	438	species	9137710	10	6	0.0
Legionella pneumophila	446	species	237955242	42	22	0.0
Legionella hackeliae	449	species	3570857	9	7	0.0
Legionella longbeachae	450	species	25231216	31	19	0.0
Legionella micdadei	451	species	9836958	115	22	0.0
Legionella spiritensis	452	species	6755735	15	3	0.0
Legionella israelensis	454	species	9344693	23	13	0.0
Legionella jordanis	456	species	3133723	4	4	0.0
Moraxellaceae	468	family	0	2	0	0.0
Acinetobacter	469	genus	0	25	10	0.0
Acinetobacter baumannii	470	species	2988084860	2185	179	0.0
Acinetobacter calcoaceticus	471	species	23786304	33	9	0.0
Moraxella bovis	476	species	97686759	20	11	0.0
Moraxella nonliquefaciens	478	species	4667090	7	0	0.0
Moraxella catarrhalis	480	species	21134302	20	2	0.0
Neisseria	482	genus	0	2	0	0.0
Neisseria cinerea	483	species	3665805	6	2	0.0
Neisseria flavescens	484	species	2231882	5	2	0.0
Neisseria gonorrhoeae	485	species	431863181	249	175	0.0
Neisseria meningitidis	487	species	226087510	19	1	0.0
Neisseria mucosa	488	species	5008700	3	1	0.0
Neisseria sicca	490	species	5430826	9	6	0.0
Neisseria animalis	492	species	4477875	6	0	0.0
Neisseria canis	493	species	2569389	4	1	0.0
Psychrobacter	497	genus	0	1	1	0.0
Kingella kingae	504	species	12245024	13	0	0.0
Kingella oralis	505	species	2420532	1	0	0.0
Alcaligenes	507	genus	0	3	0	0.0
Alcaligenes faecalis	511	species	66752829	128	25	0.0
Bordetella bronchiseptica	518	species	114376439	13	0	0.0
Bordetella parapertussis	519	species	424883925	2	0	0.0
Bordetella pertussis	520	species	2565042804	1	0	0.0
Bordetella avium	521	species	26291993	2	2	0.0
Brucella anthropi	529	species	35076955	9	0	0.0
Chromobacterium violaceum	536	species	18802982	10	1	0.0
Iodobacter fluviatilis	537	species	4588033	1	1	0.0
Eikenella corrodens	539	species	6843626	6	1	0.0
Zymomonas mobilis	542	species	8769269	8	4	0.0
Enterobacteriaceae	543	family	0	1202	4	0.0
Citrobacter	544	genus	0	12	2	0.0
Citrobacter koseri	545	species	136415715	13	3	0.0
Citrobacter freundii	546	species	949025678	72	13	0.0
Enterobacter	547	genus	0	15	3	0.0
Klebsiella aerogenes	548	species	373053809	36	8	0.0
Pantoea agglomerans	549	species	195369680	36	11	0.0
Enterobacter cloacae	550	species	155696327	14	5	0.0
Erwinia	551	genus	0	4	2	0.0
Erwinia amylovora	552	species	103291094	2	1	0.0
Pantoea ananatis	553	species	69434643	28	8	0.0
Pectobacterium carotovorum	554	species	29316601	18	2	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	14652671	3	0	0.0
Dickeya chrysanthemi	556	species	4751996	6	4	0.0
Escherichia	561	genus	0	225	0	0.0
Escherichia coli	562	species	16252458828	22025	7044	0.0
Shimwellia blattae	563	species	8307006	6	0	0.0
Escherichia fergusonii	564	species	319090294	45	3	0.0
Atlantibacter hermannii	565	species	22481761	13	2	0.0
Pseudescherichia vulneris	566	species	4653761	3	2	0.0
Hafnia alvei	569	species	37963452	19	8	0.0
Klebsiella	570	genus	0	235	1	0.0
Klebsiella oxytoca	571	species	270992090	19	6	0.0
Klebsiella pneumoniae	573	species	12079194920	18411	3366	0.0
Raoultella planticola	575	species	72544966	13	2	0.0
Raoultella terrigena	577	species	22948653	11	3	0.0
Kluyvera cryocrescens	580	species	4849988	2	2	0.0
Morganella	581	genus	0	1	0	0.0
Morganella morganii	582	species	236924800	88	31	0.0
Proteus	583	genus	0	5	1	0.0
Proteus mirabilis	584	species	597503754	182	56	0.0
Proteus vulgaris	585	species	42626441	89	20	0.0
Providencia	586	genus	0	31	20	0.0
Providencia rettgeri	587	species	183660640	91	16	0.0
Providencia stuartii	588	species	104722232	41	15	0.0
Salmonella	590	genus	0	4	1	0.0
Salmonella enterica subsp. enterica serovar Gallinarum	594	leaf	18963264	1	0	0.0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	253955439	2	1	0.0
Salmonella enterica subsp. enterica serovar Muenchen	596	leaf	87073611	6	0	0.0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	48448653	4	0	0.0
Serratia	613	genus	0	4	1	0.0
Serratia liquefaciens	614	species	32864515	16	3	0.0
Serratia marcescens	615	species	698484774	85	18	0.0
Serratia odorifera	618	species	5272556	8	5	0.0
Shigella	620	genus	0	2	0	0.0
Shigella boydii	621	species	67333287	3	0	0.0
Shigella dysenteriae	622	species	130462102	10	4	0.0
Shigella flexneri	623	species	409981008	33	3	0.0
Shigella sonnei	624	species	240329959	8	0	0.0
Xenorhabdus nematophila	628	species	8564534	9	0	0.0
Yersinia	629	genus	0	1	1	0.0
Yersinia enterocolitica	630	species	122743732	44	14	0.0
Yersinia intermedia	631	species	43953898	36	10	0.0
Yersinia pestis	632	species	222841758	13	1	0.0
Yersinia pseudotuberculosis	633	species	100750680	26	5	0.0
Yersinia bercovieri	634	species	4401131	2	2	0.0
Edwardsiella	635	genus	0	3	0	0.0
Edwardsiella tarda	636	species	159503960	24	9	0.0
